Date,Time,Open,High,Low,Close,Volume,MA_50,MA_200,Volatility,Daily_Return,RSI,Cumulative_Return
2005.05.23,00:00,417.2,417.8,415.8,416.3,1251,427.66200000000003,424.55449999999996,5.8740195150491425,-0.0019180052745145781,28.744939271255106,1.0838323353293382
2005.05.24,00:00,417.0,418.8,415.3,417.7,1551,427.216,424.649,5.46935000468082,0.003362959404275667,28.455284552845498,1.087477219474092
2005.05.25,00:00,417.3,419.1,416.2,418.3,1447,426.778,424.74150000000003,5.2954275211351085,0.0014364376346660546,26.359832635983267,1.0890393126789866
2005.05.26,00:00,418.1,419.6,416.1,417.0,1619,426.264,424.83099999999996,5.193748772881106,-0.0031078173559646594,30.143540669856463,1.085654777401715
2005.05.27,00:00,417.1,419.8,416.8,419.6,956,425.89,424.95599999999996,4.498593347400484,0.006235011990407768,37.872340425531966,1.092423847956258
2005.05.31,00:00,417.1,417.3,413.3,416.8,525,425.45,425.0735000000001,4.349591632375651,-0.006673021925643452,32.558139534883765,1.0851340796667501
2005.06.01,00:00,416.6,417.3,414.2,414.5,791,425.124,425.1555,4.414959617149659,-0.005518234165067248,27.838827838827854,1.0791460557146542
2005.06.02,00:00,416.1,423.1,415.8,421.3,987,425.024,425.25550000000004,4.050246906055077,0.016405307599517416,50.8833922261484,1.096849778703459
2005.06.03,00:00,421.5,424.3,421.2,421.8,808,424.964,425.34049999999996,3.4527601468371114,0.0011868027533823433,54.57875457875457,1.0981515230408712
2005.06.06,00:00,422.3,426.8,422.1,425.6,962,425.0,425.44950000000006,3.4773553169050375,0.009009009009009139,61.3114754098361,1.1080447800052036
2005.06.07,00:00,425.6,427.1,423.8,424.1,667,424.966,425.53950000000003,3.3914753814771346,-0.003524436090225569,60.12861736334405,1.1041395469929671
2005.06.08,00:00,424.1,426.1,422.6,423.2,657,424.92400000000004,425.59450000000004,3.2019895131171947,-0.0021221410044801603,54.13793103448271,1.1017964071856252
2005.06.09,00:00,423.0,424.5,420.6,423.2,671,424.88200000000006,425.664,2.9020863638363106,0.0,55.47703180212005,1.1017964071856252
2005.06.10,00:00,423.3,427.8,421.7,426.6,892,424.85799999999995,425.789,3.282633730792069,0.008034026465028488,66.55052264808353,1.1106482686800279
2005.06.13,00:00,425.8,430.2,423.5,428.2,966,424.92,425.8960000000001,3.7536333275778855,0.0037505860290669712,70.16949152542361,1.1148138505597467
